"x_id","year_of_death","cause_of_death","count"
1,2017,"Accident",2
2,2017,"Accident",3
3,2017,"Cancer",1
4,2017,"Cancer",2
5,2017,"Cancer",2
6,2017,"Cancer",4
7,2017,"Cardiovascular Disease",2
8,2017,"Cardiovascular Disease",1
9,2017,"Cardiovascular Disease",2
10,2017,"Cardiovascular Disease",4
11,2017,"Cardiovascular Disease",5
12,2017,"Drug Toxicity",2
13,2017,"Drug Toxicity",3
14,2017,"Drug Toxicity",1
15,2017,"Drug Toxicity",3
16,2017,"Drug Toxicity",10
17,2017,"Drug Toxicity",13
18,2017,"Homicide",1
19,2017,"Other",1
20,2017,"Other",1
21,2017,"Other",2
22,2017,"Other",2
23,2017,"Other",2
24,2017,"Pneumonia",3
25,2017,"Suicide",1
26,2017,"Suicide",2
27,2017,"Unknown/Pending",1
28,2017,"Unknown/Pending",1
29,2017,"Unknown/Pending",2
30,2017,"Unknown/Pending",4
31,2017,"Unknown/Pending",4
32,2017,"Unknown/Pending",5
33,2017,"Unknown/Pending",8
34,2018,"Accident",1
35,2018,"Accident",2
36,2018,"Accident",2
37,2018,"Cancer",1
38,2018,"Cardiovascular Disease",1
39,2018,"Cardiovascular Disease",1
40,2018,"Cardiovascular Disease",5
41,2018,"Cardiovascular Disease",7
42,2018,"Drug Toxicity",1
43,2018,"Drug Toxicity",2
44,2018,"Drug Toxicity",8
45,2018,"Drug Toxicity",1
46,2018,"Drug Toxicity",8
47,2018,"Drug Toxicity",13
48,2018,"Homicide",1
49,2018,"Homicide",2
50,2018,"Homicide",2
51,2018,"Other",3
52,2018,"Other",3
53,2018,"Other",4
54,2018,"Pneumonia",1
55,2018,"Pneumonia",1
56,2018,"Pneumonia",2
57,2018,"Suicide",1
58,2018,"Suicide",1
59,2018,"Suicide",2
60,2018,"Unknown/Pending",1
61,2018,"Unknown/Pending",3
62,2018,"Unknown/Pending",1
63,2018,"Unknown/Pending",3
64,2018,"Unknown/Pending",5
65,2018,"Unknown/Pending",5
66,2019,"Accident",2
67,2019,"Accident",3
68,2019,"Accident",1
69,2019,"Accident",1
70,2019,"Accident",2
71,2019,"Cancer",1
72,2019,"Cancer",2
73,2019,"Cancer",1
74,2019,"Cancer",5
75,2019,"Cardiovascular Disease",1
76,2019,"Cardiovascular Disease",1
77,2019,"Cardiovascular Disease",1
78,2019,"Cardiovascular Disease",3
79,2019,"Cardiovascular Disease",9
80,2019,"Drug Toxicity",4
81,2019,"Drug Toxicity",9
82,2019,"Drug Toxicity",4
83,2019,"Drug Toxicity",8
84,2019,"Drug Toxicity",14
85,2019,"Homicide",1
86,2019,"Homicide",1
87,2019,"Homicide",2
88,2019,"Homicide",3
89,2019,"Other",1
90,2019,"Other",1
91,2019,"Other",1
92,2019,"Other",2
93,2019,"Other",1
94,2019,"Other",2
95,2019,"Other",3
96,2019,"Pneumonia",1
97,2019,"Pneumonia",1
98,2019,"Pneumonia",3
99,2019,"Pneumonia",3
100,2019,"Suicide",1
101,2019,"Suicide",1
102,2019,"Unknown/Pending",1
103,2019,"Unknown/Pending",1
104,2019,"Unknown/Pending",3
105,2019,"Unknown/Pending",3
106,2019,"Unknown/Pending",9
107,2019,"Unknown/Pending",9
